,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
66719,tt0114369,movie,Se7en,1995,127,"['Crime', 'Drama', 'Mystery']",8.6,1675055,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66920,tt0114709,movie,Toy Story,1995,81,"['Adventure', 'Animation', 'Comedy']",8.3,1006168,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66942,tt0114746,movie,12 Monkeys,1995,129,"['Mystery', 'Sci-Fi', 'Thriller']",8.0,625066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
66983,tt0114814,movie,The Usual Suspects,1995,106,"['Crime', 'Drama', 'Mystery']",8.5,1095456,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67726,tt0116282,movie,Fargo,1996,98,"['Crime', 'Thriller']",8.1,686486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67964,tt0116629,movie,Independence Day,1996,145,"['Action', 'Adventure', 'Sci-Fi']",7.0,582267,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68846,tt0117951,movie,Trainspotting,1996,93,['Drama'],8.1,695080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69192,tt0118715,movie,The Big Lebowski,1998,117,"['Comedy', 'Crime']",8.1,818677,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69254,tt0118799,movie,Life Is Beautiful,1997,116,"['Comedy', 'Drama', 'Romance']",8.6,703823,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69561,tt0119217,movie,Good Will Hunting,1997,126,"['Drama', 'Romance']",8.3,988219,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69746,tt0119488,movie,L.A. Confidential,1997,138,"['Crime', 'Drama', 'Mystery']",8.2,588512,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69872,tt0119654,movie,Men in Black,1997,98,"['Action', 'Adventure', 'Comedy']",7.3,578152,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70351,tt0120338,movie,Titanic,1997,194,"['Drama', 'Romance']",7.9,1204012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70371,tt0120363,movie,Toy Story 2,1999,92,"['Adventure', 'Animation', 'Comedy']",7.9,589648,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70387,tt0120382,movie,The Truman Show,1998,103,"['Comedy', 'Drama']",8.2,1100907,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70523,tt0120586,movie,American History X,1998,119,"['Crime', 'Drama']",8.5,1133405,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70597,tt0120689,movie,The Green Mile,1999,189,"['Crime', 'Drama', 'Fantasy']",8.6,1318510,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70629,tt0120735,movie,"Lock, Stock and Two Smoking Barrels",1998,107,"['Action', 'Comedy', 'Crime']",8.2,589648,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70630,tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,2001,178,"['Action', 'Adventure', 'Drama']",8.8,1896322,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70690,tt0120815,movie,Saving Private Ryan,1998,169,"['Drama', 'War']",8.6,1407727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70748,tt0120903,movie,X-Men,2000,104,"['Action', 'Adventure', 'Sci-Fi']",7.3,622860,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70754,tt0120915,movie,Star Wars: Episode I - The Phantom Menace,1999,136,"['Action', 'Adventure', 'Fantasy']",6.5,815862,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71027,tt0121765,movie,Star Wars: Episode II - Attack of the Clones,2002,142,"['Action', 'Adventure', 'Fantasy']",6.6,721292,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71028,tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,2005,140,"['Action', 'Adventure', 'Fantasy']",7.6,802487,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72802,tt0126029,movie,Shrek,2001,90,"['Adventure', 'Animation', 'Comedy']",7.9,690780,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74757,tt0133093,movie,The Matrix,1999,136,"['Action', 'Sci-Fi']",8.7,1935003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76104,tt0137523,movie,Fight Club,1999,139,['Drama'],8.8,2156454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77961,tt0144084,movie,American Psycho,2000,102,"['Crime', 'Drama', 'Horror']",7.6,641197,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78385,tt0145487,movie,Spider-Man,2002,121,"['Action', 'Adventure', 'Sci-Fi']",7.4,828983,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82010,tt0162222,movie,Cast Away,2000,143,"['Adventure', 'Drama', 'Romance']",7.8,602406,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83525,tt0167260,movie,The Lord of the Rings: The Return of the King,2003,201,"['Action', 'Adventure', 'Drama']",9.0,1866728,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83526,tt0167261,movie,The Lord of the Rings: The Two Towers,2002,179,"['Action', 'Adventure', 'Drama']",8.8,1685573,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83575,tt0167404,movie,The Sixth Sense,1999,107,"['Drama', 'Mystery', 'Thriller']",8.2,1002437,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
84075,tt0169547,movie,American Beauty,1999,122,['Drama'],8.4,1164591,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84874,tt0172495,movie,Gladiator,2000,155,"['Action', 'Adventure', 'Drama']",8.5,1517925,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87236,tt0180093,movie,Requiem for a Dream,2000,102,['Drama'],8.3,852894,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87821,tt0181689,movie,Minority Report,2002,145,"['Action', 'Crime', 'Mystery']",7.6,560509,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93257,tt0198781,movie,"Monsters, Inc.",2001,92,"['Adventure', 'Animation', 'Comedy']",8.1,921373,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95600,tt0206634,movie,Children of Men,2006,109,"['Action', 'Drama', 'Sci-Fi']",7.9,507065,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95957,tt0208092,movie,Snatch,2000,104,"['Comedy', 'Crime']",8.2,865898,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96199,tt0209144,movie,Memento,2000,113,"['Mystery', 'Thriller']",8.4,1251549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
96817,tt0211915,movie,Amélie,2001,122,"['Comedy', 'Romance']",8.3,763957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101364,tt0234215,movie,The Matrix Reloaded,2003,138,"['Action', 'Sci-Fi']",7.2,602554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102792,tt0240772,movie,Ocean's Eleven,2001,116,"['Crime', 'Thriller']",7.7,584833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102927,tt0241527,movie,Harry Potter and the Sorcerer's Stone,2001,152,"['Adventure', 'Family', 'Fantasy']",7.6,798662,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103175,tt0242653,movie,The Matrix Revolutions,2003,129,"['Action', 'Sci-Fi']",6.7,520256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103907,tt0245429,movie,Spirited Away,2001,125,"['Adventure', 'Animation', 'Family']",8.6,776690,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104226,tt0246578,movie,Donnie Darko,2001,113,"['Drama', 'Mystery', 'Sci-Fi']",8.0,812020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
105852,tt0253474,movie,The Pianist,2002,150,"['Biography', 'Drama', 'Music']",8.5,844226,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107193,tt0258463,movie,The Bourne Identity,2002,119,"['Action', 'Mystery', 'Thriller']",7.9,553753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
109026,tt0264464,movie,Catch Me If You Can,2002,141,"['Biography', 'Crime', 'Drama']",8.1,1003754,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109561,tt0266543,movie,Finding Nemo,2003,100,"['Adventure', 'Animation', 'Comedy']",8.2,1055615,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
